categoryId,type,target,reading,meaning,example,exampleMeaning,question,optionA,optionB,optionC,optionD,answer
n2-contrast-exception,vocab,例外,れいがい,exception,"このルールに例外はありません。","There are no exceptions to this rule.","What does 「例外」 mean?",exception,explanation,experience,expense,0
n2-contrast-exception,grammar,〜一方で,,"on the other hand; while","この仕事は大変な一方で、とても勉強になります。","This job is hard, but on the other hand it is very educational.","「大変な一方で」 means:","while it is hard","only because it is hard","before it becomes hard","it is no longer hard",0
n2-contrast-exception,vocab,逆に,ぎゃくに,"conversely; on the contrary","急いだら、逆に失敗してしまいました。","When I rushed, I failed instead.","Choose the meaning of 「逆に」.",conversely,recently,normally,directly,0
n2-formal-situations,grammar,〜に関して,,"regarding; concerning","試験の結果に関して質問があります。","I have a question regarding the exam results.","「結果に関して」 means:","regarding the results","instead of the results","without results","after all results",0
n2-formal-situations,vocab,申請,しんせい,"application; request","ビザの申請には時間がかかります。","The visa application takes time.","What does 「申請」 mean?",application,announcement,condition,address,0
n2-formal-situations,grammar,〜において,,"in; at; regarding a field or place","この研究は教育において重要です。","This research is important in education.","「教育において」 means:","in education","outside education","instead of education","because education ended",0
n2-formal-situations,vocab,対応,たいおう,"response; handling; support","スタッフの対応がとても丁寧でした。","The staff's response was very polite.","Choose the meaning of 「対応」.",response,tradition,condition,arrival,0
n2-cause-consequence,grammar,〜に伴って,,"along with; as a result of","人口の増加に伴って、交通量も増えました。","Along with the population increase, traffic also increased.","「人口の増加に伴って」 means:","along with the population increase","instead of the population increase","before the population increase","without population change",0
n2-cause-consequence,vocab,影響,えいきょう,"influence; effect","天気は売り上げに影響します。","The weather affects sales.","What does 「影響」 mean?",influence,schedule,device,contract,0
n2-cause-consequence,grammar,〜だけに,,"precisely because; all the more because","期待していただけに、失敗して残念でした。","Precisely because I had expectations, I was disappointed by the failure.","「期待していただけに」 means:","precisely because I expected it","only if I expected it","before I expected it","I was not expecting it",0
n2-cause-consequence,vocab,原因,げんいん,"cause; origin","問題の原因を調べています。","We are investigating the cause of the problem.","Choose the meaning of 「原因」.",cause,result,rule,benefit,0
n2-change-progress,grammar,〜つつある,,"to be gradually doing; in the process of","日本語の力が伸びつつあります。","My Japanese ability is gradually improving.","「伸びつつあります」 means:","is gradually improving","improved completely","cannot improve","must improve today",0
n2-change-progress,vocab,増加,ぞうか,"increase; growth","利用者が増加しています。","The number of users is increasing.","Choose the meaning of 「増加」.",increase,delay,repair,agreement,0
n2-change-progress,grammar,〜にしたがって,,"as; in accordance with","気温が上がるにしたがって、アイスが売れます。","As the temperature rises, ice cream sells.","「気温が上がるにしたがって」 means:","as the temperature rises","although the temperature rises","before the temperature rises","if the temperature never rises",0
