categoryId,type,target,reading,meaning,example,exampleMeaning,question,optionA,optionB,optionC,optionD,answer
n3-condition-result,vocab,変化,へんか,change,この変化をよく確認してから、次の作業を始めます。,I check this change carefully before starting the next task.,What is the closest meaning of 「変化」?,homework,change,influence,nervousness,1
n3-condition-result,vocab,改善,かいぜん,improvement,この改善をよく確認してから、次の作業を始めます。,I check this improvement carefully before starting the next task.,What is the closest meaning of 「改善」?,heat,change,improvement,being late,2
n3-condition-result,vocab,約束,やくそく,promise,この約束をよく確認してから、次の作業を始めます。,I check this promise carefully before starting the next task.,What is the closest meaning of 「約束」?,approximately,promise,confirmation,supervisor,1
n3-condition-result,vocab,希望,きぼう,hope,この希望をよく確認してから、次の作業を始めます。,I check this hope carefully before starting the next task.,What is the closest meaning of 「希望」?,decision,hope,cancellation,mail,1
n3-condition-result,vocab,危険,きけん,danger,この危険をよく確認してから、次の作業を始めます。,I check this danger carefully before starting the next task.,What is the closest meaning of 「危険」?,decision,address,classroom,danger,3
n3-condition-result,vocab,安全,あんぜん,safety,この安全をよく確認してから、次の作業を始めます。,I check this safety carefully before starting the next task.,What is the closest meaning of 「安全」?,effort,submission,embarrassing,safety,3
n3-condition-result,vocab,注意,ちゅうい,caution,この注意をよく確認してから、次の作業を始めます。,I check this caution carefully before starting the next task.,What is the closest meaning of 「注意」?,ratio,caution,permission,passing an exam,1
n3-condition-result,vocab,連絡,れんらく,contact,この連絡をよく確認してから、次の作業を始めます。,I check this contact carefully before starting the next task.,What is the closest meaning of 「連絡」?,to get angry,contact,decrease,speed,1
n3-condition-result,vocab,決定,けってい,decision,この決定をよく確認してから、次の作業を始めます。,I check this decision carefully before starting the next task.,What is the closest meaning of 「決定」?,increase,decision,table of contents,attendance,1
n3-condition-result,vocab,努力,どりょく,effort,この努力をよく確認してから、次の作業を始めます。,I check this effort carefully before starting the next task.,What is the closest meaning of 「努力」?,cause,work duty,number of people,effort,3
n3-condition-result,vocab,練習,れんしゅう,practice,この練習をよく確認してから、次の作業を始めます。,I check this practice carefully before starting the next task.,What is the closest meaning of 「練習」?,kanji,ticket,practice,supervisor,2
n3-condition-result,vocab,経験,けいけん,experience,この経験をよく確認してから、次の作業を始めます。,I check this experience carefully before starting the next task.,What is the closest meaning of 「経験」?,absence,hospital,experience,luggage or package,2
n3-condition-result,vocab,予習,よしゅう,preparation before class,この予習をよく確認してから、次の作業を始めます。,I check this preparation before class carefully before starting the next task.,What is the closest meaning of 「予習」?,exam,shopping,case or situation,preparation before class,3
n3-condition-result,vocab,復習,ふくしゅう,review study,この復習をよく確認してから、次の作業を始めます。,I check this review study carefully before starting the next task.,What is the closest meaning of 「復習」?,weather,parking,review study,directions,2
n3-condition-result,vocab,目標,もくひょう,goal,この目標をよく確認してから、次の作業を始めます。,I check this goal carefully before starting the next task.,What is the closest meaning of 「目標」?,goal,reception desk,success,after,0
n3-condition-result,vocab,期限,きげん,deadline,この期限をよく確認してから、次の作業を始めます。,I check this deadline carefully before starting the next task.,What is the closest meaning of 「期限」?,confirmation,deadline,departure,arrival,1
n3-condition-result,vocab,中止,ちゅうし,cancellation,この中止をよく確認してから、次の作業を始めます。,I check this cancellation carefully before starting the next task.,What is the closest meaning of 「中止」?,exam,trash,maximum,cancellation,3
n3-condition-result,vocab,変更,へんこう,change or revision,この変更をよく確認してから、次の作業を始めます。,I check this change or revision carefully before starting the next task.,What is the closest meaning of 「変更」?,preparation,change or revision,cough,anxiety,1
n3-condition-result,vocab,開始,かいし,start,この開始をよく確認してから、次の作業を始めます。,I check this start carefully before starting the next task.,What is the closest meaning of 「開始」?,continuation,start,break,report,1
n3-condition-result,vocab,終了,しゅうりょう,end,この終了をよく確認してから、次の作業を始めます。,I check this end carefully before starting the next task.,What is the closest meaning of 「終了」?,shower,work duty,interview,end,3
n3-condition-result,vocab,完成,かんせい,completion,この完成をよく確認してから、次の作業を始めます。,I check this completion carefully before starting the next task.,What is the closest meaning of 「完成」?,departure,quite,expectation,completion,3
n3-condition-result,vocab,進歩,しんぽ,progress,この進歩をよく確認してから、次の作業を始めます。,I check this progress carefully before starting the next task.,What is the closest meaning of 「進歩」?,maximum,purpose,weather,progress,3
n3-condition-result,vocab,不足,ふそく,shortage,この不足をよく確認してから、次の作業を始めます。,I check this shortage carefully before starting the next task.,What is the closest meaning of 「不足」?,permission,degree,shortage,continuation,2
n3-condition-result,vocab,余裕,よゆう,extra time or room,この余裕をよく確認してから、次の作業を始めます。,I check this extra time or room carefully before starting the next task.,What is the closest meaning of 「余裕」?,information,medicine,confirmation,extra time or room,3
n3-condition-result,vocab,効果,こうか,effect,この効果をよく確認してから、次の作業を始めます。,I check this effect carefully before starting the next task.,What is the closest meaning of 「効果」?,cancellation,effect,documents,courage,1
n3-condition-result,vocab,影響,えいきょう,influence,この影響をよく確認してから、次の作業を始めます。,I check this influence carefully before starting the next task.,What is the closest meaning of 「影響」?,practice,sleepy,depth,influence,3
n3-condition-result,vocab,関係,かんけい,relationship,この関係をよく確認してから、次の作業を始めます。,I check this relationship carefully before starting the next task.,What is the closest meaning of 「関係」?,explanation,recently,relationship,boredom,2
n3-condition-result,vocab,情報,じょうほう,information,この情報をよく確認してから、次の作業を始めます。,I check this information carefully before starting the next task.,What is the closest meaning of 「情報」?,opinion,wallet,information,assignment,2
n3-condition-result,vocab,手順,てじゅん,procedure,この手順をよく確認してから、次の作業を始めます。,I check this procedure carefully before starting the next task.,What is the closest meaning of 「手順」?,procedure,order,joke,mail,0
n3-condition-result,vocab,相談,そうだん,consultation,この相談をよく確認してから、次の作業を始めます。,I check this consultation carefully before starting the next task.,What is the closest meaning of 「相談」?,convenience,being late,consultation,same,2
n3-condition-result,vocab,返事,へんじ,reply,この返事をよく確認してから、次の作業を始めます。,I check this reply carefully before starting the next task.,What is the closest meaning of 「返事」?,reply,assignment,to refuse,deadline,0
n3-condition-result,vocab,合格,ごうかく,passing an exam,この合格をよく確認してから、次の作業を始めます。,I check this passing an exam carefully before starting the next task.,What is the closest meaning of 「合格」?,departure,intersection,recently,passing an exam,3
n3-condition-result,grammar,たら,,if or when,家に着いたら、すぐにメールします。,When I get home I will email you right away.,Choose the grammar pattern that best fits this sentence meaning: When I get home I will email you right away.,はずだ,たら,てはいけない,かもしれない,1
n3-condition-result,grammar,たら,,if or when,雨がやんだら、買い物に行きましょう。,If the rain stops let us go shopping.,Choose the grammar pattern that best fits this sentence meaning: If the rain stops let us go shopping.,たところ,たら,なければならない,について,1
n3-condition-result,grammar,たら,,if or when,時間があったら、資料を読んでください。,If you have time please read the materials.,Choose the grammar pattern that best fits this sentence meaning: If you have time please read the materials.,たら,ているところ,までに,ようだ,0
n3-condition-result,grammar,たら,,if or when,宿題が終わったら、少し休んでもいいです。,When you finish your homework you may rest a little.,Choose the grammar pattern that best fits this sentence meaning: When you finish your homework you may rest a little.,かもしれない,ようだ,たら,せいで,2
n3-condition-result,grammar,たら,,if or when,駅に着いたら、電話してください。,Please call me when you arrive at the station.,Choose the grammar pattern that best fits this sentence meaning: Please call me when you arrive at the station.,たら,まま,ようだ,より,0
n3-condition-result,grammar,ば,,if,時間があれば、一緒に行きませんか。,If you have time would you like to go together?,Choose the grammar pattern that best fits this sentence meaning: If you have time would you like to go together?,ようになる,てしまう,てもらえませんか,ば,3
n3-condition-result,grammar,ば,,if,薬を飲めば、少し楽になります。,If you take medicine you will feel a little better.,Choose the grammar pattern that best fits this sentence meaning: If you take medicine you will feel a little better.,として,かもしれない,ば,に対して,2
n3-condition-result,grammar,ば,,if,早く出れば、会議に間に合います。,If we leave early we will make it to the meeting.,Choose the grammar pattern that best fits this sentence meaning: If we leave early we will make it to the meeting.,ば,ているところ,以内,ようになる,0
n3-condition-result,grammar,ば,,if,説明を読めば、使い方が分かります。,If you read the explanation you will understand how to use it.,Choose the grammar pattern that best fits this sentence meaning: If you read the explanation you will understand how to use it.,ながら,に対して,ようだ,ば,3
n3-condition-result,grammar,ば,,if,練習すれば、もっと上手になります。,If you practice you will get better.,Choose the grammar pattern that best fits this sentence meaning: If you practice you will get better.,ば,くらい,なら,だけ,0
n3-condition-result,grammar,と,,when or if as a natural result,このボタンを押すと、電気がつきます。,When you press this button the light turns on.,Choose the grammar pattern that best fits this sentence meaning: When you press this button the light turns on.,と,より,てもらえませんか,てみる,0
n3-condition-result,grammar,と,,when or if as a natural result,春になると、桜が咲きます。,When spring comes cherry blossoms bloom.,Choose the grammar pattern that best fits this sentence meaning: When spring comes cherry blossoms bloom.,たところ,ずつ,と,までに,2
n3-condition-result,grammar,と,,when or if as a natural result,右に曲がると、駅があります。,If you turn right there is a station.,Choose the grammar pattern that best fits this sentence meaning: If you turn right there is a station.,ば,ことになっている,ようにする,と,3
n3-condition-result,grammar,と,,when or if as a natural result,水を温めると、お湯になります。,When you heat water it becomes hot water.,Choose the grammar pattern that best fits this sentence meaning: When you heat water it becomes hot water.,と,なくてもいい,ばよかった,ないと,0
n3-condition-result,grammar,と,,when or if as a natural result,この道をまっすぐ行くと、公園に出ます。,If you go straight on this road you will reach the park.,Choose the grammar pattern that best fits this sentence meaning: If you go straight on this road you will reach the park.,ばかり,について,と,に対して,2
n3-condition-result,grammar,なら,,if it is the case that,日本語を勉強するなら、この辞書が便利です。,If you are studying Japanese this dictionary is useful.,Choose the grammar pattern that best fits this sentence meaning: If you are studying Japanese this dictionary is useful.,くらい,なら,だけ,てもらえませんか,1
n3-condition-result,grammar,なら,,if it is the case that,京都へ行くなら、春がおすすめです。,If you are going to Kyoto spring is recommended.,Choose the grammar pattern that best fits this sentence meaning: If you are going to Kyoto spring is recommended.,なければならない,なら,そうだ,べき,1
n3-condition-result,grammar,なら,,if it is the case that,安いホテルを探すなら、早めに予約したほうがいいです。,If you are looking for a cheap hotel it is better to reserve early.,Choose the grammar pattern that best fits this sentence meaning: If you are looking for a cheap hotel it is better to reserve early.,以内,ておく,なら,ことになっている,2
n3-condition-result,grammar,なら,,if it is the case that,パソコンを買うなら、軽いものがいいです。,If you are buying a computer a light one is good.,Choose the grammar pattern that best fits this sentence meaning: If you are buying a computer a light one is good.,以上,に対して,ばかり,なら,3
n3-condition-result,grammar,なら,,if it is the case that,明日来るなら、先に連絡してください。,If you are coming tomorrow please contact me first.,Choose the grammar pattern that best fits this sentence meaning: If you are coming tomorrow please contact me first.,てしまう,ようにする,なら,に対して,2
n3-condition-result,grammar,ても,,even if,雨が降っても、試合は行われます。,Even if it rains the game will be held.,Choose the grammar pattern that best fits this sentence meaning: Even if it rains the game will be held.,ようだ,ても,に対して,なくてもいい,1
n3-condition-result,grammar,ても,,even if,忙しくても、朝ご飯は食べます。,Even if I am busy I eat breakfast.,Choose the grammar pattern that best fits this sentence meaning: Even if I am busy I eat breakfast.,ために,ているところ,ても,てしまう,2
n3-condition-result,grammar,ても,,even if,高くても、必要なら買います。,Even if it is expensive I will buy it if necessary.,Choose the grammar pattern that best fits this sentence meaning: Even if it is expensive I will buy it if necessary.,べき,てもらえませんか,ても,まま,2
n3-condition-result,grammar,ても,,even if,失敗しても、もう一度やってみます。,Even if I fail I will try again.,Choose the grammar pattern that best fits this sentence meaning: Even if I fail I will try again.,ばよかった,まま,ても,せいで,2
n3-condition-result,grammar,ても,,even if,眠くても、レポートを書かなければなりません。,Even if I am sleepy I must write the report.,Choose the grammar pattern that best fits this sentence meaning: Even if I am sleepy I must write the report.,ても,ことになる,てはいけない,なくてもいい,0
n3-condition-result,grammar,ないと,,if not or must,早く出ないと、遅刻します。,If we do not leave early we will be late.,Choose the grammar pattern that best fits this sentence meaning: If we do not leave early we will be late.,だけ,と,ないと,に比べて,2
n3-condition-result,grammar,ないと,,if not or must,薬を飲まないと、熱が下がりません。,If you do not take medicine your fever will not go down.,Choose the grammar pattern that best fits this sentence meaning: If you do not take medicine your fever will not go down.,ば,てある,ないと,たところ,2
n3-condition-result,grammar,ないと,,if not or must,予約しないと、席がないかもしれません。,If we do not reserve there may be no seats.,Choose the grammar pattern that best fits this sentence meaning: If we do not reserve there may be no seats.,ほど,ないと,おかげで,だけ,1
n3-condition-result,grammar,ないと,,if not or must,勉強しないと、試験に合格できません。,If you do not study you cannot pass the exam.,Choose the grammar pattern that best fits this sentence meaning: If you do not study you cannot pass the exam.,ないと,と,たところ,せいで,0
n3-condition-result,grammar,ないと,,if not or must,電気を消さないと、電気代が高くなります。,If you do not turn off the lights the electricity bill will get high.,Choose the grammar pattern that best fits this sentence meaning: If you do not turn off the lights the electricity bill will get high.,ないと,ことがある,べき,と,0
n3-condition-result,grammar,ように,,so that,忘れないように、メモしておきます。,I will write it down so that I do not forget.,Choose the grammar pattern that best fits this sentence meaning: I will write it down so that I do not forget.,ように,てしまう,ことがある,ようにする,0
n3-condition-result,grammar,ように,,so that,聞こえるように、大きな声で話してください。,Please speak loudly so that people can hear.,Choose the grammar pattern that best fits this sentence meaning: Please speak loudly so that people can hear.,だけ,に対して,ように,ているところ,2
n3-condition-result,grammar,ように,,so that,間に合うように、早めに出発します。,I will leave early so that I can be on time.,Choose the grammar pattern that best fits this sentence meaning: I will leave early so that I can be on time.,なら,なくてもいい,ように,だけ,2
n3-condition-result,grammar,ように,,so that,風邪をひかないように、暖かくしてください。,Please stay warm so that you do not catch a cold.,Choose the grammar pattern that best fits this sentence meaning: Please stay warm so that you do not catch a cold.,ておく,ているところ,かもしれない,ように,3
n3-condition-result,grammar,ように,,so that,分かりやすいように、例を使って説明します。,I will explain using examples so that it is easy to understand.,Choose the grammar pattern that best fits this sentence meaning: I will explain using examples so that it is easy to understand.,てみる,より,ように,べき,2
n3-condition-result,grammar,ことになる,,it is decided that,来月から新しい店で働くことになりました。,It has been decided that I will work at a new shop from next month.,Choose the grammar pattern that best fits this sentence meaning: It has been decided that I will work at a new shop from next month.,ことになる,ことになっている,より,ことがある,0
n3-condition-result,grammar,ことになる,,it is decided that,会議はオンラインで行うことになりました。,It has been decided that the meeting will be held online.,Choose the grammar pattern that best fits this sentence meaning: It has been decided that the meeting will be held online.,ことになる,に比べて,ようだ,ても,0
n3-condition-result,grammar,ことになる,,it is decided that,明日の授業は休みになることになりました。,It has been decided that tomorrow's class will be canceled.,Choose the grammar pattern that best fits this sentence meaning: It has been decided that tomorrow's class will be canceled.,ことになる,っぱなし,だけ,に比べて,0
n3-condition-result,grammar,ことになる,,it is decided that,今年の旅行は北海道に行くことになりました。,It has been decided that this year's trip will be to Hokkaido.,Choose the grammar pattern that best fits this sentence meaning: It has been decided that this year's trip will be to Hokkaido.,ようになる,ことになる,ように,ているところ,1
n3-condition-result,grammar,ことになる,,it is decided that,発表は三人ですることになりました。,It has been decided that three people will give the presentation.,Choose the grammar pattern that best fits this sentence meaning: It has been decided that three people will give the presentation.,ために,ことになる,てみる,せいで,1
n3-condition-result,grammar,おかげで,,thanks to,先生のおかげで、試験に合格できました。,Thanks to my teacher I was able to pass the exam.,Choose the grammar pattern that best fits this sentence meaning: Thanks to my teacher I was able to pass the exam.,たら,てほしい,おかげで,と,2
n3-condition-result,grammar,おかげで,,thanks to,友だちが手伝ってくれたおかげで、早く終わりました。,Thanks to my friend helping me I finished early.,Choose the grammar pattern that best fits this sentence meaning: Thanks to my friend helping me I finished early.,しかない,なくてもいい,おかげで,ずつ,2
n3-condition-result,grammar,おかげで,,thanks to,毎日練習したおかげで、上手になりました。,Thanks to practicing every day I improved.,Choose the grammar pattern that best fits this sentence meaning: Thanks to practicing every day I improved.,として,てほしい,に対して,おかげで,3
n3-condition-result,grammar,おかげで,,thanks to,地図のおかげで、道に迷いませんでした。,Thanks to the map I did not get lost.,Choose the grammar pattern that best fits this sentence meaning: Thanks to the map I did not get lost.,ているところ,たところ,なければならない,おかげで,3
n3-condition-result,grammar,おかげで,,thanks to,薬のおかげで、熱が下がりました。,Thanks to the medicine my fever went down.,Choose the grammar pattern that best fits this sentence meaning: Thanks to the medicine my fever went down.,っぱなし,おかげで,まま,くらい,1
n3-condition-result,grammar,せいで,,because of something negative,大雨のせいで、電車が遅れました。,Because of heavy rain the train was delayed.,Choose the grammar pattern that best fits this sentence meaning: Because of heavy rain the train was delayed.,せいで,てある,より,かもしれない,0
n3-condition-result,grammar,せいで,,because of something negative,寝不足のせいで、授業中に眠くなりました。,Because of lack of sleep I became sleepy during class.,Choose the grammar pattern that best fits this sentence meaning: Because of lack of sleep I became sleepy during class.,せいで,そうだ,ているところ,ほど,0
n3-condition-result,grammar,せいで,,because of something negative,風邪のせいで、旅行に行けませんでした。,Because of a cold I could not go on the trip.,Choose the grammar pattern that best fits this sentence meaning: Because of a cold I could not go on the trip.,おかげで,と,せいで,そうだ,2
n3-condition-result,grammar,せいで,,because of something negative,交通事故のせいで、道が混んでいます。,Because of a traffic accident the road is crowded.,Choose the grammar pattern that best fits this sentence meaning: Because of a traffic accident the road is crowded.,ばよかった,てみる,ようになる,せいで,3
n3-condition-result,grammar,せいで,,because of something negative,準備不足のせいで、発表がうまくいきませんでした。,Because of insufficient preparation the presentation did not go well.,Choose the grammar pattern that best fits this sentence meaning: Because of insufficient preparation the presentation did not go well.,なければならない,ほど,せいで,そうだ,2
n3-daily-life,vocab,洗濯,せんたく,laundry,毎日の生活では、洗濯をきちんとすることが大切です。,In daily life it is important to handle laundry properly.,What is the closest meaning of 「洗濯」?,hospital,laundry,confirmation,report,1
n3-daily-life,vocab,掃除,そうじ,cleaning,毎日の生活では、掃除をきちんとすることが大切です。,In daily life it is important to handle cleaning properly.,What is the closest meaning of 「掃除」?,before,cleaning,facial expression,departure,1
n3-daily-life,vocab,料理,りょうり,cooking,毎日の生活では、料理をきちんとすることが大切です。,In daily life it is important to handle cooking properly.,What is the closest meaning of 「料理」?,break,relationship,cooking,practice,2
n3-daily-life,vocab,食事,しょくじ,meal,毎日の生活では、食事をきちんとすることが大切です。,In daily life it is important to handle meal properly.,What is the closest meaning of 「食事」?,address,meal,looking forward to,cause,1
n3-daily-life,vocab,朝食,ちょうしょく,breakfast,毎日の生活では、朝食をきちんとすることが大切です。,In daily life it is important to handle breakfast properly.,What is the closest meaning of 「朝食」?,success,solution,possibility,breakfast,3
n3-daily-life,vocab,昼食,ちゅうしょく,lunch,毎日の生活では、昼食をきちんとすることが大切です。,In daily life it is important to handle lunch properly.,What is the closest meaning of 「昼食」?,danger,responsibility,lunch,less than,2
n3-daily-life,vocab,夕食,ゆうしょく,dinner,毎日の生活では、夕食をきちんとすることが大切です。,In daily life it is important to handle dinner properly.,What is the closest meaning of 「夕食」?,driving,times as much,influence,dinner,3
n3-daily-life,vocab,買い物,かいもの,shopping,毎日の生活では、買い物をきちんとすることが大切です。,In daily life it is important to handle shopping properly.,What is the closest meaning of 「買い物」?,lunch,overtime work,shopping,length,2
n3-daily-life,vocab,近所,きんじょ,neighborhood,毎日の生活では、近所をきちんとすることが大切です。,In daily life it is important to handle neighborhood properly.,What is the closest meaning of 「近所」?,necessity,neighborhood,increase,materials,1
n3-daily-life,vocab,住所,じゅうしょ,address,毎日の生活では、住所をきちんとすることが大切です。,In daily life it is important to handle address properly.,What is the closest meaning of 「住所」?,address,rain gear,looking forward to,comparison,0
n3-daily-life,vocab,部屋,へや,room,毎日の生活では、部屋をきちんとすることが大切です。,In daily life it is important to handle room properly.,What is the closest meaning of 「部屋」?,to apologize,presentation,nervousness,room,3
n3-daily-life,vocab,台所,だいどころ,kitchen,毎日の生活では、台所をきちんとすることが大切です。,In daily life it is important to handle kitchen properly.,What is the closest meaning of 「台所」?,almost,mail,kitchen,clear weather,2
n3-daily-life,vocab,風呂,ふろ,bath,毎日の生活では、風呂をきちんとすることが大切です。,In daily life it is important to handle bath properly.,What is the closest meaning of 「風呂」?,goal,increase,coldness,bath,3
n3-daily-life,vocab,シャワー,シャワー,shower,毎日の生活では、シャワーをきちんとすることが大切です。,In daily life it is important to handle shower properly.,What is the closest meaning of 「シャワー」?,mail,shower,dinner,good at,1
n3-daily-life,vocab,ごみ,ごみ,trash,毎日の生活では、ごみをきちんとすることが大切です。,In daily life it is important to handle trash properly.,What is the closest meaning of 「ごみ」?,trash,before,half price,content,0
n3-daily-life,vocab,予約,よやく,reservation,毎日の生活では、予約をきちんとすることが大切です。,In daily life it is important to handle reservation properly.,What is the closest meaning of 「予約」?,medicine,submission,reservation,kindness,2
n3-daily-life,vocab,注文,ちゅうもん,order,毎日の生活では、注文をきちんとすることが大切です。,In daily life it is important to handle order properly.,What is the closest meaning of 「注文」?,order,to apologize,bath,courage,0
n3-daily-life,vocab,配達,はいたつ,delivery,毎日の生活では、配達をきちんとすることが大切です。,In daily life it is important to handle delivery properly.,What is the closest meaning of 「配達」?,delivery,table of contents,request,assignment,0
n3-daily-life,vocab,荷物,にもつ,luggage or package,毎日の生活では、荷物をきちんとすることが大切です。,In daily life it is important to handle luggage or package properly.,What is the closest meaning of 「荷物」?,luggage or package,to refuse,opposition,joke,0
n3-daily-life,vocab,切符,きっぷ,ticket,毎日の生活では、切符をきちんとすることが大切です。,In daily life it is important to handle ticket properly.,What is the closest meaning of 「切符」?,start,parking,feeling,ticket,3
n3-daily-life,vocab,改札,かいさつ,ticket gate,毎日の生活では、改札をきちんとすることが大切です。,In daily life it is important to handle ticket gate properly.,What is the closest meaning of 「改札」?,ticket gate,times as much,being late,homework,0
n3-daily-life,vocab,駅前,えきまえ,in front of the station,毎日の生活では、駅前をきちんとすることが大切です。,In daily life it is important to handle in front of the station properly.,What is the closest meaning of 「駅前」?,in front of the station,order,hope,not good at,0
n3-daily-life,vocab,道順,みちじゅん,directions,毎日の生活では、道順をきちんとすることが大切です。,In daily life it is important to handle directions properly.,What is the closest meaning of 「道順」?,business trip,directions,rain gear,case or situation,1
n3-daily-life,vocab,信号,しんごう,traffic light,毎日の生活では、信号をきちんとすることが大切です。,In daily life it is important to handle traffic light properly.,What is the closest meaning of 「信号」?,extra time or room,traffic light,same,opinion,1
n3-daily-life,vocab,交差点,こうさてん,intersection,毎日の生活では、交差点をきちんとすることが大切です。,In daily life it is important to handle intersection properly.,What is the closest meaning of 「交差点」?,intersection,contact,clothes,umbrella,0
n3-daily-life,vocab,乗り換え,のりかえ,transfer,毎日の生活では、乗り換えをきちんとすることが大切です。,In daily life it is important to handle transfer properly.,What is the closest meaning of 「乗り換え」?,gratitude,all,depth,transfer,3
n3-daily-life,vocab,運転,うんてん,driving,毎日の生活では、運転をきちんとすることが大切です。,In daily life it is important to handle driving properly.,What is the closest meaning of 「運転」?,driving,cough,quantity,preparation,0
n3-daily-life,vocab,駐車,ちゅうしゃ,parking,毎日の生活では、駐車をきちんとすることが大切です。,In daily life it is important to handle parking properly.,What is the closest meaning of 「駐車」?,consecutive holidays,address,parking,teacher,2
n3-daily-life,vocab,自転車,じてんしゃ,bicycle,毎日の生活では、自転車をきちんとすることが大切です。,In daily life it is important to handle bicycle properly.,What is the closest meaning of 「自転車」?,being late,bicycle,assignment,condition,1
n3-daily-life,vocab,散歩,さんぽ,walk,毎日の生活では、散歩をきちんとすることが大切です。,In daily life it is important to handle walk properly.,What is the closest meaning of 「散歩」?,goal,assignment,opinion,walk,3
n3-daily-life,vocab,天気,てんき,weather,毎日の生活では、天気をきちんとすることが大切です。,In daily life it is important to handle weather properly.,What is the closest meaning of 「天気」?,number,beginning,case or situation,weather,3
n3-daily-life,vocab,雨具,あまぐ,rain gear,毎日の生活では、雨具をきちんとすることが大切です。,In daily life it is important to handle rain gear properly.,What is the closest meaning of 「雨具」?,rain gear,resume,umbrella,a little,0
n3-daily-life,vocab,傘,かさ,umbrella,毎日の生活では、傘をきちんとすることが大切です。,In daily life it is important to handle umbrella properly.,What is the closest meaning of 「傘」?,preparation,decrease,umbrella,arrival,2
n3-daily-life,vocab,曇り,くもり,cloudy weather,毎日の生活では、曇りをきちんとすることが大切です。,In daily life it is important to handle cloudy weather properly.,What is the closest meaning of 「曇り」?,grades,cloudy weather,reservation,necessity,1
n3-daily-life,vocab,晴れ,はれ,clear weather,毎日の生活では、晴れをきちんとすることが大切です。,In daily life it is important to handle clear weather properly.,What is the closest meaning of 「晴れ」?,clear weather,attitude,reason,improvement,0
n3-daily-life,vocab,暑さ,あつさ,heat,毎日の生活では、暑さをきちんとすることが大切です。,In daily life it is important to handle heat properly.,What is the closest meaning of 「暑さ」?,heat,to be pleased,practice,salary,0
